Year,Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Opening Weekend,Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Oscar,Bafta
2011,9722,3917,38.08,181.60%,245.15,123.26,121.90,135,Rango,Paramount,88,69,Fish Out Of Water,Animation,,
2011,9715,3750,36.43,107.25%,174.82,100.24,74.58,163,Cowboys and Aliens,Universal,44,50,Monster Force,Action,,
2011,9335,3584,33.50,189.83%,227.80,98.80,129.00,120,The Green Hornet,Columbia,44,47,Rivalry,Action,,
2011,93230,4,0.37,169.70%,54.30,13.30,41.00,32,The Tree Of Life,Independant,84,61,Discovery,Drama,,
2011,9310,3040,28.30,598.97%,209.64,117.54,92.10,35,Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,,
2011,8995,2918,26.25,887.33%,288.38,169.11,119.28,32.5,Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,,
2011,8899,1277,11.36,,,,,,Hugo,Paramount,93,84,,Adventure,,
2011,8623,3952,34.08,218.76%,284.39,142.09,142.30,130,Puss In Boots,DreamWorks,83,76,Quest,Animation,,
2011,8601,3548,30.51,268.68%,214.95,103.03,111.92,80,Just Go With It,Happy Madison,19,63,Comedy,Romance,,
2011,8500,3440,29.24,160.95%,72.43,66.63,5.80,45,The Muppets,Disney,97,87,Quest,Comedy,,
2011,8469,2994,25.36,538.80%,193.97,99.97,94.00,36,Gnomeo and Juliet,Disney,56,52,Love,Animation,,
2011,7942,3440,27.32,245.28%,269.81,83.61,186.20,110,Real Steel,DreamWorks Pictures,58,81,Underdog,Action,,
2011,7500,3167,23.75,344.84%,72.42,52.70,19.72,21,Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,,
2011,7450,2840,21.16,254.72%,127.87,62.50,65.37,50.2,The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,,
2011,7273,3438,25.00,106.22%,83.91,68.91,15.00,79,Jack and Jill,Happy Madison,4,59,Comedy,Comedy,,
2011,7183,3043,21.86,435.95%,130.79,63.69,67.10,30,Unknown,Independant,55,57,The Riddle,Thriller,,
2011,7174,247,1.75,82.58%,8.26,5.31,2.95,10,My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,,
2011,7135,3367,24.03,162.01%,121.50,74.50,47.00,75,Tower Heist,Relativity,68,61,Revenge,Comedy,,
2011,6935,3222,22.40,225.74%,135.44,75.64,59.80,60,Contagion,Warner Bros,84,63,The Riddle,Thriller,,
2011,6860,2756,18.91,599.44%,161.85,79.25,82.60,27,Limitless,Virgin,69,73,Wretched Excess,Thriller,,
2011,6516,2993,19.50,204.22%,102.11,74.21,27.90,50,Moneyball,Columbia,95,89,Underdog,Drama,,
2011,6512,3018,19.70,590.80%,147.70,70.60,77.10,25,No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,,
2011,6364,2926,18.62,427.26%,149.54,55.80,93.74,35,Friends With Benefits,Warner Bros,71,68,Temptation,Romance,,
2011,6326,3020,19.10,285.68%,142.84,84.34,58.50,50,"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,,
2011,6284,3033,19.06,109.50%,89.79,36.39,53.40,82,Sucker Punch,Legendary Pictures,23,48,Quest,Action,,
2011,61777,944,5.83,818.69%,139.18,56.18,83.00,17,Midnight in Paris,Sony,93,84,Love,Romance,,
2011,6167,3154,19.45,240.83%,144.50,55.10,89.40,60,I Am Number Four,Paramount,32,57,Maturation,Thriller,,
2011,6111,106,0.60,32.00%,4.80,4.40,0.40,15,The Company Men,Weinstein Company,66,55,Discovery,Drama,,
2011,6060,2940,17.80,99.57%,69.70,48.50,21.20,70,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,,
2011,5979,2817,16.84,308.14%,117.09,58.71,58.39,38,Water For Elephants,20th Century Fox,60,72,Love,Drama,,
2011,5921,2534,15.00,253.08%,40.49,37.30,3.19,16,The Roommate,Independant,4,29,Monster Force,Horror,,
2011,5889,3606,21.24,78.89%,106.51,57.31,49.20,135,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,,
2011,5873,1910,11.22,100.16%,35.06,35.06,??,35,J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,,
2011,5763,3482,20.07,212.88%,170.30,80.36,89.94,80,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,,
2011,5715,3155,18.03,394.72%,157.89,42.59,115.30,40,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,,
2011,5656,3305,18.69,242.84%,97.14,38.18,58.96,40,Scream 4,Weinstein Company,58,57,Monster Force,Horror,,
2011,5524,3339,18.45,340.65%,187.36,68.22,119.14,55,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,,
2011,5511,2408,13.27,6467.27%,97.01,54.01,43.00,1.5,Insidious,Sony,67,65,Monster Force,Horror,,
2011,5461,3507,19.15,237.69%,87.95,71.08,16.86,37,Dolphin Tale,Independant,84,81,Quest,Drama,,
2011,5427,1826,9.91,227.15%,45.43,31.18,14.25,20,The Debt,Universal,76,70,Pursuit,Thriller,,
2011,5047,1952,9.85,169.61%,28.83,27.87,0.97,17,Beastly,CBS Films,19,50,Metamorphosis,Romance,,
2011,5002,2961,14.81,385.24%,123.28,54.71,68.57,32,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,,
2011,4960,707,3.51,56.84%,14.21,11.54,2.67,25,The Conspirator,Independant,56,65,Underdog,Drama,,
2011,4955,2985,14.80,259.46%,96.00,33.00,63.00,37,The Rite,Warner Bros,20,43,Monster Force,Horror,,
2011,4890,22,0.11,30.33%,6.37,0.97,5.40,21,The Beaver,Summit Entertainment,62,57,Transformation,Drama,,
2011,4880,2535,12.37,212.60%,63.78,40.26,23.52,30,Hanna,Universal,71,67,Quest,Action,,
2011,4879,2707,13.21,187.52%,75.01,58.01,17.00,40,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,,
2011,4802,2904,13.95,171.95%,60.18,39.05,21.14,35,Something Borrowed,Independant,?,?,Love,Romance,,
2011,4789,2214,10.60,245.93%,44.27,43.85,0.41,18,Soul Surfer,Sony,46,79,Underdog,Drama,,
2011,4761,2199,15.56,258.55%,62.05,51.16,10.90,24,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,,
2011,4761,2199,10.47,433.55%,54.19,40.49,13.70,12.5,The Ides of March,Columbia,85,76,Transformation,Thriller,,
2011,4655,2802,13.04,244.96%,97.98,37.41,60.57,40,Paul,Relativity,72,70,Comedy,Comedy,,
2011,4645,2913,13.53,136.22%,70.83,37.08,33.75,52,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,,
2011,4622,3030,14.01,212.29%,89.16,37.66,51.50,42,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,,
2011,4616,2888,13.33,144.81%,40.55,37.05,3.49,28,30 Minutes or Less,Independant,43,48,Comedy,Comedy,,
2011,4588,2950,13.54,231.00%,83.16,45.06,38.10,36,Hall Pass,Warner Bros,35,44,Temptation,Comedy,,
2011,4506,2875,12.95,179.18%,34.04,34.04,??,19,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,,
2011,4405,2973,13.10,174.69%,52.41,35.61,16.80,30,Larry Crowne,Universal,34,46,Discovery,Drama,,
2011,4226,2703,11.40,128.00%,51.20,29.20,22.00,40,The Mechanic,Independant,53,52,Revenge,Action,,
2011,41038,29,4.38,122.71%,24.54,24.54,?,20,The Descendants,20th Century Fox,89,88,Discovery,Drama,,
2011,3982,2614,10.41,152.41%,60.97,36.67,24.30,40,Colombiana,Sony,28,55,Revenge,Action,,
2011,3929,2886,11.34,446.71%,67.01,34.68,32.33,15,Drive,Independant,93,79,Rivalry,Thriller,,
2011,38672,4375,169.19,1062.49%,"1,328.11",381.01,947.10,125,Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,,
2011,3860,3122,12.05,318.48%,127.39,36.49,90.90,40,In Time,Regency Enterprises,38,55,The Riddle,Thriller,,
2011,3856,265,1.02,47.30%,14.19,4.46,9.73,30,Anonymous,Relativity Media,46,66,Tragedy,Drama,,
2011,3782,2296,8.68,108.48%,27.12,19.49,7.63,25,The Eagle,Universal,39,43,Quest,Action,,
2011,3769,2816,12.00,229.00%,91.60,24.80,66.80,40,Season Of The Witch,Relativity,10,32,Monster Force,Action,,
2011,3731,3276,12.22,114.34%,45.74,33.04,12.70,40,Arthur,Warner Bros,26,49,Sacrifice,Comedy,,
2011,3537,3376,12.07,60.80%,91.20,33.70,57.50,150,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,,
2011,3534,3295,11.64,274.37%,74.08,38.54,35.54,27,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,,
2011,3517,2458,8.64,456.39%,36.51,34.90,1.62,8,50/50,Independant,93,93,Discovery,Comedy,,
2011,3504,3118,10.93,234.48%,82.07,28.07,54.00,35,Abduction,Vertigo Entertainment,4,46,Maturation,Action,,
2011,34012,4061,138.12,577.09%,634.80,260.80,374.00,110,Twilight: Breaking Dawn,Independant,26,68,Love,Romance,,
2011,3390,2787,9.40,362.00%,108.60,23.20,85.40,30,Sanctum,Relativity Media,30,39,Quest,Action,,
2011,3380,2769,9.36,49.81%,24.86,21.60,3.26,49.9,Your Highness,Universal,26,36,Comedy,Comedy,,
2011,3324,3015,10.02,54.22%,48.80,21.30,27.50,90,Conan the Barbarian,Lionsgate,22,34,Quest,Action,,
2011,3267,2405,7.86,110.51%,33.15,26.69,6.46,30,Winnie The Pooh,Disney,91,79,Quest,Animation,,
2011,3132,2986,9.35,75.66%,52.96,25.12,27.84,70,Killer Elite,Independant,25,48,Rivalry,Action,,
2011,3089,2760,8.53,126.18%,31.55,24.05,7.50,25,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,,
2011,3055,2661,8.13,77.00%,38.50,21.30,17.20,50,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,,
2011,3014,2473,7.45,198.32%,39.66,23.18,16.48,20,Monte Carlo,20th Century Fox,38,50,Love,Romance,,
2011,2995,2806,8.40,154.81%,38.70,18.88,19.83,25,Shark Night 3D,Relativity,16,25,Escape,Horror,,
2011,2972,3,0.01,0.50%,0.03,0.03,?,5,Waiting For Forever,Independant,6,53,Love,Romance,,
2011,2955,1719,5.08,368.27%,55.24,13.84,41.40,15,One Day,Independant,37,54,Love,Romance,,
2011,2875,3017,8.67,176.20%,132.15,20.25,111.90,75,The Three Musketeers,Independant,24,48,Rivalry,Action,,
2011,2835,2996,8.49,72.18%,27.43,16.93,10.50,38,The Thing,Universal,36,52,Monster Force,Horror,,
2011,2805,1869,5.24,92.23%,23.06,13.66,9.40,25,Warrior,Lionsgate,83,93,Rivalry,Action,,
2011,2744,2555,,496.32%,24.82,24.82,??,5,Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,,
2011,2615,3328,8.70,511.24%,25.56,17.69,7.88,5,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,,
2011,2477,3114,7.71,123.67%,37.10,18.30,18.80,30,Fright Night,DreamWorks,75,68,Rivalry,Horror,,
2011,2470,1552,3.83,350.98%,157.94,8.31,149.63,45,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,,
2011,23937,4088,97.85,576.00%,"1,123.20",352.39,770.81,195,Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,,
2011,23775,3615,85.95,726.83%,581.46,254.46,327.00,80,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,,
2011,23655,3644,,5.01,626.13,209.83,416.3,125,Fast Five,Universal,78,83,Escape,Action,,
2011,2265,2990,5.19,64.29%,28.93,10.72,18.21,45,Drive Angry,Independant,45,38,Rescue,Action,,
